timestamp,open,high,low,close,volume
2017-10-18 12:10:00,178.1600,178.1600,178.1500,178.1500,986
2017-10-18 12:09:00,178.1600,178.1600,178.1200,178.1500,2400
2017-10-18 12:08:00,178.1200,178.1600,178.1100,178.1600,3050
2017-10-18 12:07:00,178.1900,178.2000,178.1200,178.1700,10850
2017-10-18 12:06:00,178.2300,178.2400,178.1000,178.1900,8173
2017-10-18 12:05:00,178.1000,178.2390,178.1000,178.1900,5951
2017-10-18 12:04:00,178.0790,178.1000,178.0300,178.0900,2822
2017-10-18 12:03:00,177.9600,178.0600,177.9600,178.0600,3819
2017-10-18 12:02:00,177.9200,177.9800,177.8700,177.9500,3501
2017-10-18 12:01:00,177.8400,177.9200,177.8400,177.9200,1670
2017-10-18 12:00:00,177.9900,178.0000,177.8600,177.8600,2696
2017-10-18 11:59:00,177.9900,178.0200,177.9900,178.0000,2537
2017-10-18 11:58:00,177.9900,178.0000,177.9700,177.9700,1000
2017-10-18 11:57:00,178.0300,178.0500,177.9800,177.9800,2320
2017-10-18 11:56:00,178.0100,178.0300,178.0000,178.0100,900
2017-10-18 11:55:00,177.9900,178.0200,177.9800,178.0200,9493
2017-10-18 11:54:00,177.9100,178.0100,177.9100,178.0050,14160
2017-10-18 11:53:00,177.9500,178.0300,177.9100,177.9100,9348
2017-10-18 11:52:00,177.9000,177.9900,177.8830,177.9500,16495
2017-10-18 11:51:00,177.8101,177.9100,177.7900,177.9100,8273
2017-10-18 11:50:00,177.8150,177.8500,177.7900,177.8000,11045
2017-10-18 11:49:00,177.8600,177.8600,177.7650,177.8000,13499
2017-10-18 11:48:00,177.8600,177.8800,177.8000,177.8600,14932
2017-10-18 11:47:00,177.9420,177.9600,177.8050,177.8899,23391
2017-10-18 11:46:00,178.1300,178.1300,177.9100,177.9550,13992
2017-10-18 11:45:00,178.2300,178.2437,178.0900,178.0900,17135
2017-10-18 11:44:00,178.1800,178.3400,178.1799,178.2200,59355
2017-10-18 11:43:00,178.0900,178.1800,178.0233,178.1667,17303
2017-10-18 11:42:00,177.9450,178.1600,177.9400,178.0900,37403
2017-10-18 11:41:00,177.9350,177.9700,177.9000,177.9600,11862
2017-10-18 11:40:00,177.8500,177.9700,177.8500,177.9400,27279
2017-10-18 11:39:00,177.7752,177.8600,177.7600,177.8400,12245
2017-10-18 11:38:00,177.7857,177.8200,177.7500,177.7800,8832
2017-10-18 11:37:00,177.8600,177.8600,177.7800,177.7800,12356
2017-10-18 11:36:00,177.6800,177.8800,177.6700,177.8500,20557
2017-10-18 11:35:00,177.5950,177.7800,177.5900,177.6800,22978
2017-10-18 11:34:00,177.5857,177.6400,177.5000,177.6400,8881
2017-10-18 11:33:00,177.5700,177.6400,177.3700,177.6400,22843
2017-10-18 11:32:00,177.5900,177.6800,177.5600,177.6000,27745
2017-10-18 11:31:00,177.5655,177.6100,177.5500,177.5820,15477
2017-10-18 11:30:00,177.4590,177.6100,177.4590,177.5552,33717
2017-10-18 11:29:00,177.4222,177.4800,177.4000,177.4600,17569
2017-10-18 11:28:00,177.3600,177.4600,177.3400,177.4000,18472
2017-10-18 11:27:00,177.5000,177.5000,177.3200,177.3700,23851
2017-10-18 11:26:00,177.4484,177.5322,177.4100,177.5200,31095
2017-10-18 11:25:00,177.6150,177.6700,177.4100,177.4200,32762
2017-10-18 11:24:00,177.6600,177.7400,177.6200,177.6200,16856
2017-10-18 11:23:00,177.6500,177.7300,177.6400,177.6500,12029
2017-10-18 11:22:00,177.6600,177.6802,177.6100,177.6368,7541
2017-10-18 11:21:00,177.6400,177.7200,177.6300,177.6500,12143
2017-10-18 11:20:00,177.7500,177.7608,177.6300,177.6632,33045
2017-10-18 11:19:00,177.6140,177.8190,177.5900,177.7400,18986
2017-10-18 11:18:00,177.7300,177.7653,177.5500,177.6400,53987
2017-10-18 11:17:00,177.7890,177.8500,177.7123,177.7726,41098
2017-10-18 11:16:00,177.9300,177.9355,177.7500,177.7800,36607
2017-10-18 11:15:00,177.9700,178.0250,177.9300,177.9400,17108
2017-10-18 11:14:00,177.9900,178.0385,177.9800,177.9800,18873
2017-10-18 11:13:00,177.9758,178.0355,177.9410,177.9900,20900
2017-10-18 11:12:00,177.9700,178.0086,177.8500,177.9200,23946
2017-10-18 11:11:00,177.9600,178.0100,177.9250,177.9964,11515
2017-10-18 11:10:00,177.9800,178.0303,177.9500,177.9800,18683
2017-10-18 11:09:00,177.9100,178.0100,177.9000,178.0000,28912
2017-10-18 11:08:00,178.0400,178.0700,177.9000,177.9200,50870
2017-10-18 11:07:00,178.2180,178.2180,178.0200,178.0400,25272
2017-10-18 11:06:00,178.2600,178.2796,178.1600,178.1700,19358
2017-10-18 11:05:00,178.3910,178.4454,178.2100,178.2100,30175
2017-10-18 11:04:00,178.4000,178.4810,178.3900,178.3900,37339
2017-10-18 11:03:00,178.4000,178.4720,178.3900,178.4218,30806
2017-10-18 11:02:00,178.3300,178.4800,178.2900,178.4225,59310
2017-10-18 11:01:00,178.2300,178.3500,178.2200,178.3400,30601
2017-10-18 11:00:00,178.2900,178.3000,178.1600,178.1992,27765
2017-10-18 10:59:00,178.2319,178.3000,178.2010,178.3000,10519
2017-10-18 10:58:00,178.3158,178.3600,178.1500,178.2138,18859
2017-10-18 10:57:00,178.0900,178.3760,178.0900,178.3300,28857
2017-10-18 10:56:00,178.3400,178.3700,178.0600,178.0842,51956
2017-10-18 10:55:00,178.3600,178.4000,178.2400,178.3600,22212
2017-10-18 10:54:00,178.3800,178.4200,178.3500,178.3700,16648
2017-10-18 10:53:00,178.3300,178.4499,178.3300,178.4000,33430
2017-10-18 10:52:00,178.2300,178.3500,178.1850,178.3223,34739
2017-10-18 10:51:00,178.2000,178.3172,178.1000,178.2000,47903
2017-10-18 10:50:00,178.2900,178.3200,178.1600,178.2050,30301
2017-10-18 10:49:00,178.3900,178.4000,178.2800,178.2900,49124
2017-10-18 10:48:00,178.3200,178.4400,178.2501,178.3900,70501
2017-10-18 10:47:00,178.3000,178.3500,178.2300,178.2800,33523
2017-10-18 10:46:00,178.2900,178.3700,178.1710,178.2790,29477
2017-10-18 10:45:00,178.2262,178.3400,178.2000,178.2916,85998
2017-10-18 10:44:00,178.1834,178.2300,178.0600,178.2200,38090
2017-10-18 10:43:00,178.1200,178.2500,178.0700,178.2000,63491
2017-10-18 10:42:00,178.1400,178.1800,178.0507,178.1200,55492
2017-10-18 10:41:00,177.9000,178.1900,177.9000,178.1690,76048
2017-10-18 10:40:00,177.8000,177.9700,177.7900,177.9000,21424
2017-10-18 10:39:00,177.8900,177.9300,177.7800,177.7873,12022
2017-10-18 10:38:00,177.9989,178.0500,177.9100,177.9180,22574
2017-10-18 10:37:00,177.8700,178.0500,177.8000,178.0500,49872
2017-10-18 10:36:00,177.9299,177.9500,177.6100,177.8990,39489
2017-10-18 10:35:00,178.0196,178.0196,177.8100,177.9240,39084
2017-10-18 10:34:00,177.7000,178.1700,177.6500,178.0000,159343
2017-10-18 10:33:00,177.7000,177.7500,177.6400,177.6650,28733
2017-10-18 10:32:00,177.4900,177.7500,177.4480,177.6900,24146
2017-10-18 10:31:00,177.5700,177.5700,177.4200,177.5100,41884
2017-10-18 10:30:00,177.6700,177.7100,177.5601,177.5960,17912
2017-10-18 10:29:00,177.6800,177.7200,177.4800,177.6600,39851
2017-10-18 10:28:00,177.5900,177.6800,177.5201,177.6760,37411
2017-10-18 10:27:00,177.2800,177.6300,177.2800,177.6300,63344
2017-10-18 10:26:00,177.2700,177.3400,177.2600,177.2601,27353
2017-10-18 10:25:00,177.2550,177.3100,177.2142,177.3100,35866
2017-10-18 10:24:00,177.0800,177.3372,177.0800,177.2700,27031
2017-10-18 10:23:00,177.0400,177.2000,177.0000,177.1255,19074
2017-10-18 10:22:00,176.9997,177.1800,176.9997,177.0879,43144
2017-10-18 10:21:00,176.9800,177.0300,176.8600,177.0300,28531
2017-10-18 10:20:00,176.9700,177.0000,176.8650,177.0000,12258
2017-10-18 10:19:00,176.9300,177.0000,176.8500,176.9602,29611
2017-10-18 10:18:00,176.7700,176.9800,176.7700,176.9499,18405
2017-10-18 10:17:00,176.8320,176.9000,176.7200,176.8199,16255
2017-10-18 10:16:00,176.9000,177.0000,176.7884,176.8263,44256
2017-10-18 10:15:00,176.5700,176.9000,176.5400,176.8640,27263
2017-10-18 10:14:00,176.5800,176.6400,176.4100,176.6200,44507
2017-10-18 10:13:00,176.5000,176.5900,176.3600,176.5600,28608
